Date,Time,Voltage,SC_Current
16/7/2019,21:6:33,4.69,-0.74
16/7/2019,21:11:33,4.69,0.00
16/7/2019,21:16:33,7.03,-0.96
16/7/2019,21:21:33,2.34,-0.15
16/7/2019,21:26:32,4.69,-0.52
16/7/2019,21:31:32,4.69,-1.11
16/7/2019,21:36:32,4.69,-0.07
16/7/2019,21:41:31,0.00,-0.44
16/7/2019,21:46:31,4.69,-0.67
16/7/2019,21:51:31,4.69,-0.74
16/7/2019,21:56:30,4.69,-0.44
16/7/2019,22:1:30,4.69,0.07
16/7/2019,22:6:30,2.34,-0.44
16/7/2019,22:11:30,4.69,-0.52
16/7/2019,22:16:29,4.69,0.30
16/7/2019,22:21:29,4.69,-0.22
16/7/2019,22:26:29,4.69,-0.44
16/7/2019,22:31:28,4.69,-0.59
16/7/2019,22:36:28,4.69,-0.67
16/7/2019,22:41:28,2.34,-0.22
16/7/2019,22:46:28,4.69,-0.30
16/7/2019,22:51:27,4.69,-0.07
16/7/2019,22:56:27,4.69,-0.22
16/7/2019,23:1:27,2.34,-0.30
16/7/2019,23:6:26,4.69,0.15
16/7/2019,23:11:26,2.34,-0.15
16/7/2019,23:16:26,7.03,-0.52
16/7/2019,23:21:25,4.69,-0.81
16/7/2019,23:26:25,7.03,-0.96
16/7/2019,23:31:25,4.69,0.07
16/7/2019,23:36:25,4.69,0.00
16/7/2019,23:41:24,7.03,-0.30
16/7/2019,23:46:24,4.69,-0.67
16/7/2019,23:51:24,2.34,-0.52
16/7/2019,23:56:23,2.34,-0.30
17/7/2019,0:1:23,0.00,0.07
17/7/2019,0:6:23,2.34,-0.44
17/7/2019,0:11:23,4.69,-0.89
17/7/2019,0:16:22,4.69,-0.22
17/7/2019,0:21:22,2.34,-0.15
17/7/2019,0:26:22,4.69,-0.74
17/7/2019,0:31:21,4.69,0.00
17/7/2019,0:36:21,2.34,-0.59
17/7/2019,0:41:21,4.69,0.22
17/7/2019,0:46:20,4.69,-0.52
17/7/2019,0:51:20,4.69,-0.96
17/7/2019,0:56:20,4.69,-0.44
17/7/2019,1:1:20,4.69,0.00
17/7/2019,1:6:19,2.34,-0.07
17/7/2019,1:11:19,2.34,-0.96
17/7/2019,1:16:19,7.03,-1.04
17/7/2019,1:21:18,4.69,-0.44
17/7/2019,1:26:18,4.69,-0.81
