Date,Time,Voltage,SC_Current
16/7/2019,5:47:28,2.34,-0.74
16/7/2019,5:52:27,4.69,-0.52
16/7/2019,5:57:27,4.69,-0.74
16/7/2019,6:2:27,2.34,-1.78
16/7/2019,6:7:26,2.34,-0.59
16/7/2019,6:12:26,4.69,-0.44
16/7/2019,6:17:26,2.34,-1.18
16/7/2019,6:22:26,4.69,-0.96
16/7/2019,6:27:25,2.34,-0.59
16/7/2019,6:32:25,2.34,0.00
16/7/2019,6:37:25,4.69,-0.22
16/7/2019,6:42:24,2.34,-0.22
16/7/2019,6:47:24,4.69,0.15
16/7/2019,6:52:24,2.34,0.44
16/7/2019,6:57:23,2.34,-0.15
16/7/2019,7:2:23,4.69,-0.74
16/7/2019,7:7:23,4.69,-0.44
16/7/2019,7:12:23,2.34,-0.89
16/7/2019,7:17:22,4.69,-0.22
16/7/2019,7:22:22,4.69,-0.59
16/7/2019,7:27:22,4.69,-0.74
16/7/2019,7:32:21,4.69,-0.89
16/7/2019,7:37:21,2.34,0.15
16/7/2019,7:42:21,4.69,-1.18
16/7/2019,7:47:20,4.69,-0.30
16/7/2019,7:52:20,4.69,-0.44
16/7/2019,7:57:20,7.03,0.37
16/7/2019,8:2:20,4.69,-0.74
16/7/2019,8:7:19,0.00,-0.44
16/7/2019,8:12:19,2.34,-0.30
16/7/2019,8:17:19,2.34,-0.81
16/7/2019,8:22:18,4.69,-0.81
16/7/2019,8:27:18,2.34,-0.37
16/7/2019,8:32:18,4.69,-0.44
16/7/2019,8:37:17,2.34,-0.22
16/7/2019,8:42:17,2.34,-0.30
16/7/2019,8:47:17,4.69,-0.30
16/7/2019,8:52:17,4.69,-0.37
16/7/2019,8:57:16,4.69,-0.22
16/7/2019,9:2:16,4.69,0.22
16/7/2019,9:7:16,7.03,-0.89
16/7/2019,9:12:15,4.69,0.15
16/7/2019,9:17:15,2.34,-0.89
16/7/2019,9:22:15,2.34,0.74
16/7/2019,9:27:14,4.69,-0.07
16/7/2019,9:32:14,2.34,-0.22
16/7/2019,9:37:14,4.69,-0.15
16/7/2019,9:42:14,7.03,-0.15
16/7/2019,9:47:13,7.03,-0.15
16/7/2019,9:52:13,4.69,-0.67
16/7/2019,9:57:13,2.34,0.52
16/7/2019,10:2:12,7.03,-0.37
16/7/2019,10:7:12,2.34,-0.07
16/7/2019,10:12:12,4.69,-0.59
16/7/2019,10:17:11,4.69,-0.22
16/7/2019,10:22:11,4.69,-0.37
16/7/2019,10:27:11,4.69,-0.52
16/7/2019,10:32:11,4.69,0.15
16/7/2019,10:37:10,4.69,-0.59
16/7/2019,10:42:10,4.69,0.15
16/7/2019,10:47:10,4.69,-0.37
16/7/2019,10:52:9,2.34,10.43
16/7/2019,10:57:9,4.69,1.78
16/7/2019,11:2:9,2.34,3.18
16/7/2019,11:7:8,4.69,10.36
16/7/2019,11:12:8,2.34,10.73
16/7/2019,11:17:8,0.00,10.28
16/7/2019,11:22:8,4.69,3.85
16/7/2019,11:27:7,4.69,9.84
16/7/2019,11:32:7,4.69,9.54
16/7/2019,11:37:7,7.03,11.02
16/7/2019,11:42:6,0.00,1.92
16/7/2019,11:47:6,2.34,8.66
16/7/2019,11:52:6,4.69,3.40
16/7/2019,11:57:6,4.69,11.17
16/7/2019,12:2:5,4.69,11.32
16/7/2019,12:7:5,2.34,12.06
16/7/2019,12:12:5,4.69,11.76
16/7/2019,12:17:4,7.03,8.73
16/7/2019,12:22:4,2.34,3.18
16/7/2019,12:27:4,4.69,5.03
16/7/2019,12:32:3,4.69,10.95
16/7/2019,12:37:3,4.69,11.10
16/7/2019,12:42:3,4.69,10.95
16/7/2019,12:47:3,2.34,12.35
16/7/2019,12:52:2,4.69,2.66
16/7/2019,12:57:2,2.34,11.84
16/7/2019,13:2:2,4.69,12.13
16/7/2019,13:7:1,4.69,11.25
16/7/2019,13:12:1,4.69,3.33
16/7/2019,13:17:1,4.69,8.66
16/7/2019,13:22:0,4.69,5.10
16/7/2019,13:27:0,7.03,3.03
16/7/2019,13:32:0,4.69,2.44
16/7/2019,13:37:0,4.69,2.66
16/7/2019,13:41:59,4.69,3.63
16/7/2019,13:46:59,4.69,2.89
16/7/2019,13:51:59,4.69,6.29
16/7/2019,13:56:58,4.69,5.03
16/7/2019,14:1:58,4.69,5.25
16/7/2019,14:6:58,4.69,3.77
16/7/2019,14:11:58,4.69,6.95
16/7/2019,14:16:57,7.03,6.07
16/7/2019,14:21:57,2.34,4.29
16/7/2019,14:26:57,2.34,4.81
16/7/2019,14:31:56,4.69,3.92
16/7/2019,14:36:56,4.69,2.22
16/7/2019,14:41:56,4.69,1.55
16/7/2019,14:46:56,4.69,0.67
16/7/2019,14:51:55,4.69,1.48
16/7/2019,14:56:55,4.69,1.41
16/7/2019,15:1:55,4.69,1.33
16/7/2019,15:6:54,2.34,3.40
16/7/2019,15:11:54,2.34,2.74
16/7/2019,15:16:54,2.34,2.66
16/7/2019,15:21:53,4.69,1.55
16/7/2019,15:26:53,2.34,1.78
16/7/2019,15:31:53,2.34,1.48
16/7/2019,15:36:53,0.00,1.04
16/7/2019,15:41:52,4.69,1.55
16/7/2019,15:46:52,4.69,1.92
16/7/2019,15:51:52,2.34,0.67
16/7/2019,15:56:51,2.34,0.74
16/7/2019,16:1:51,4.69,0.52
16/7/2019,16:6:51,4.69,1.85
16/7/2019,16:11:51,2.34,1.63
16/7/2019,16:16:50,4.69,1.63
16/7/2019,16:21:50,4.69,1.26
16/7/2019,16:26:50,2.34,2.22
16/7/2019,16:31:49,4.69,1.55
16/7/2019,16:36:49,4.69,1.48
16/7/2019,16:41:49,4.69,1.11
16/7/2019,16:46:49,4.69,-0.37
16/7/2019,16:51:48,2.34,0.74
16/7/2019,16:56:48,4.69,-0.30
16/7/2019,17:1:48,4.69,-0.44
