Date,Time,Voltage,SC_Current
13/10/2019,20:32:13,0.00,-0.02
13/10/2019,20:35:13,0.00,-0.01
13/10/2019,20:38:13,0.00,-0.01
13/10/2019,20:41:13,0.00,-0.02
13/10/2019,20:44:13,0.00,0.00
13/10/2019,20:47:12,0.00,-0.01
13/10/2019,20:50:12,0.00,-0.01
13/10/2019,20:53:12,0.00,-0.00
13/10/2019,20:56:12,0.00,-0.00
13/10/2019,20:59:12,0.00,-0.00
13/10/2019,21:2:11,0.00,0.00
13/10/2019,21:5:11,0.00,-0.01
13/10/2019,21:8:11,0.00,-0.02
13/10/2019,21:11:11,0.00,-0.01
13/10/2019,21:14:11,0.00,-0.01
13/10/2019,21:17:11,0.01,-0.00
13/10/2019,21:20:10,0.00,-0.01
13/10/2019,21:23:10,0.00,-0.02
13/10/2019,21:26:10,0.03,-0.01
13/10/2019,21:29:10,0.02,-0.01
13/10/2019,21:32:10,0.03,-0.01
13/10/2019,21:35:9,0.02,-0.01
13/10/2019,21:38:9,0.01,-0.00
13/10/2019,21:41:9,0.02,-0.01
13/10/2019,21:44:9,0.02,-0.01
13/10/2019,21:47:9,0.01,-0.01
13/10/2019,21:50:9,0.01,-0.02
13/10/2019,21:53:8,0.01,-0.02
13/10/2019,21:56:8,0.03,-0.00
13/10/2019,21:59:8,0.03,-0.01
13/10/2019,22:2:8,0.03,-0.00
13/10/2019,22:5:8,0.03,-0.01
13/10/2019,22:8:7,0.03,-0.02
13/10/2019,22:11:7,0.03,-0.01
13/10/2019,22:14:7,0.03,-0.01
13/10/2019,22:17:7,0.03,-0.01
13/10/2019,22:20:7,0.04,0.00
13/10/2019,22:23:7,0.03,-0.01
13/10/2019,22:26:6,0.03,-0.01
13/10/2019,22:29:6,0.04,0.00
13/10/2019,22:32:6,0.05,-0.02
13/10/2019,22:35:6,0.05,-0.01
13/10/2019,22:38:6,0.04,-0.02
13/10/2019,22:41:5,0.03,-0.01
13/10/2019,22:44:5,0.02,-0.01
13/10/2019,22:47:5,0.02,-0.01
13/10/2019,22:50:5,0.02,0.00
13/10/2019,22:53:5,0.04,-0.01
13/10/2019,22:56:5,0.04,-0.00
13/10/2019,22:59:4,0.03,-0.01
13/10/2019,23:2:4,0.01,-0.01
13/10/2019,23:5:4,0.04,-0.00
13/10/2019,23:8:4,0.02,-0.01
13/10/2019,23:11:4,0.02,-0.00
13/10/2019,23:14:3,0.04,-0.01
13/10/2019,23:17:3,0.02,-0.01
13/10/2019,23:20:3,0.03,-0.01
13/10/2019,23:23:3,0.04,-0.01
13/10/2019,23:26:3,0.03,-0.00
13/10/2019,23:29:3,0.02,-0.01
13/10/2019,23:32:2,0.04,-0.00
13/10/2019,23:35:2,0.03,-0.01
13/10/2019,23:38:2,0.02,-0.02
13/10/2019,23:41:2,0.05,-0.01
13/10/2019,23:44:2,0.01,-0.00
13/10/2019,23:47:1,0.02,-0.01
13/10/2019,23:50:1,0.01,-0.01
